#IASP91 Kennett & Engdahl 1991 
#Depth(m)	Radius(m)	Vp(m/s)	Vs(m/s)
0.000000e+00	6.371000e+06	5.800000e+03	3.360000e+03
1.000000e+03	6.370000e+06	5.800000e+03	3.360000e+03
2.000000e+03	6.369000e+06	5.800000e+03	3.360000e+03
3.000000e+03	6.368000e+06	5.800000e+03	3.360000e+03
4.000000e+03	6.367000e+06	5.800000e+03	3.360000e+03
5.000000e+03	6.366000e+06	5.800000e+03	3.360000e+03
6.000000e+03	6.365000e+06	5.800000e+03	3.360000e+03
7.000000e+03	6.364000e+06	5.800000e+03	3.360000e+03
8.000000e+03	6.363000e+06	5.800000e+03	3.360000e+03
9.000000e+03	6.362000e+06	5.800000e+03	3.360000e+03
1.000000e+04	6.361000e+06	5.800000e+03	3.360000e+03
1.100000e+04	6.360000e+06	5.800000e+03	3.360000e+03
1.200000e+04	6.359000e+06	5.800000e+03	3.360000e+03
1.300000e+04	6.358000e+06	5.800000e+03	3.360000e+03
1.400000e+04	6.357000e+06	5.800000e+03	3.360000e+03
1.500000e+04	6.356000e+06	5.800000e+03	3.360000e+03
1.600000e+04	6.355000e+06	5.800000e+03	3.360000e+03
1.700000e+04	6.354000e+06	5.800000e+03	3.360000e+03
1.800000e+04	6.353000e+06	5.800000e+03	3.360000e+03
1.900000e+04	6.352000e+06	5.800000e+03	3.360000e+03
2.000000e+04	6.351000e+06	5.800000e+03	3.360000e+03
2.000000e+04	6.351000e+06	6.500000e+03	3.750000e+03
2.100000e+04	6.350000e+06	6.500000e+03	3.750000e+03
2.200000e+04	6.349000e+06	6.500000e+03	3.750000e+03
2.300000e+04	6.348000e+06	6.500000e+03	3.750000e+03
2.400000e+04	6.347000e+06	6.500000e+03	3.750000e+03
2.500000e+04	6.346000e+06	6.500000e+03	3.750000e+03
2.600000e+04	6.345000e+06	6.500000e+03	3.750000e+03
2.700000e+04	6.344000e+06	6.500000e+03	3.750000e+03
2.800000e+04	6.343000e+06	6.500000e+03	3.750000e+03
2.900000e+04	6.342000e+06	6.500000e+03	3.750000e+03
3.000000e+04	6.341000e+06	6.500000e+03	3.750000e+03
3.100000e+04	6.340000e+06	6.500000e+03	3.750000e+03
3.200000e+04	6.339000e+06	6.500000e+03	3.750000e+03
3.300000e+04	6.338000e+06	6.500000e+03	3.750000e+03
3.400000e+04	6.337000e+06	6.500000e+03	3.750000e+03
3.500000e+04	6.336000e+06	6.500000e+03	3.750000e+03
3.500000e+04	6.336000e+06	8.040000e+03	4.470000e+03
4.000000e+04	6.331000e+06	8.040600e+03	4.471800e+03
4.500000e+04	6.326000e+06	8.041200e+03	4.473500e+03
5.000000e+04	6.321000e+06	8.041800e+03	4.475300e+03
6.000000e+04	6.311000e+06	8.042900e+03	4.478800e+03
7.000000e+04	6.301000e+06	8.044100e+03	4.482400e+03
8.000000e+04	6.291000e+06	8.045300e+03	4.485900e+03
9.000000e+04	6.281000e+06	8.046500e+03	4.489400e+03
1.000000e+05	6.271000e+06	8.047600e+03	4.492900e+03
1.100000e+05	6.261000e+06	8.048800e+03	4.496500e+03
1.200000e+05	6.251000e+06	8.050000e+03	4.500000e+03
1.200000e+05	6.251000e+06	8.050000e+03	4.500000e+03
1.300000e+05	6.241000e+06	8.077800e+03	4.502000e+03
1.400000e+05	6.231000e+06	8.105600e+03	4.504000e+03
1.500000e+05	6.221000e+06	8.133300e+03	4.506000e+03
1.600000e+05	6.211000e+06	8.161100e+03	4.508000e+03
1.700000e+05	6.201000e+06	8.188900e+03	4.510000e+03
1.800000e+05	6.191000e+06	8.216700e+03	4.512000e+03
1.900000e+05	6.181000e+06	8.244400e+03	4.514000e+03
2.000000e+05	6.171000e+06	8.272200e+03	4.516000e+03
2.100000e+05	6.161000e+06	8.300000e+03	4.518000e+03
2.100000e+05	6.161000e+06	8.300000e+03	4.522000e+03
2.200000e+05	6.151000e+06	8.336500e+03	4.539400e+03
2.300000e+05	6.141000e+06	8.373000e+03	4.556800e+03
2.400000e+05	6.131000e+06	8.409500e+03	4.574200e+03
2.500000e+05	6.121000e+06	8.446000e+03	4.591600e+03
2.600000e+05	6.111000e+06	8.482500e+03	4.609000e+03
2.700000e+05	6.101000e+06	8.519000e+03	4.626400e+03
2.800000e+05	6.091000e+06	8.555500e+03	4.643800e+03
2.900000e+05	6.081000e+06	8.592000e+03	4.661200e+03
3.000000e+05	6.071000e+06	8.628500e+03	4.678600e+03
3.100000e+05	6.061000e+06	8.665000e+03	4.696000e+03
3.200000e+05	6.051000e+06	8.701500e+03	4.713400e+03
3.300000e+05	6.041000e+06	8.738000e+03	4.730800e+03
3.400000e+05	6.031000e+06	8.774500e+03	4.748200e+03
3.500000e+05	6.021000e+06	8.811000e+03	4.765600e+03
3.600000e+05	6.011000e+06	8.847500e+03	4.783000e+03
3.700000e+05	6.001000e+06	8.884000e+03	4.800400e+03
3.800000e+05	5.991000e+06	8.920500e+03	4.817800e+03
3.900000e+05	5.981000e+06	8.957000e+03	4.835200e+03
4.000000e+05	5.971000e+06	8.993500e+03	4.852600e+03
4.100000e+05	5.961000e+06	9.030000e+03	4.870000e+03
4.100000e+05	5.961000e+06	9.360000e+03	5.070000e+03
4.200000e+05	5.951000e+06	9.393600e+03	5.091200e+03
4.300000e+05	5.941000e+06	9.427200e+03	5.112400e+03
4.400000e+05	5.931000e+06	9.460800e+03	5.133600e+03
4.500000e+05	5.921000e+06	9.494400e+03	5.154800e+03
4.600000e+05	5.911000e+06	9.528000e+03	5.176000e+03
4.700000e+05	5.901000e+06	9.561600e+03	5.197200e+03
