# P	    Perr	V	    Verr	D	    Derr	thetavar thetavarerr angle angleerr
0	    0.00001	7.351	0.002	0.01278	0.00003	27.186	0.007	0	0.001
2.8	    0.1	    7.319	0.004	0.01196	0.00007	27.75	0.02	0	0.001
7.8	    0.1	    7.224	0.008	0.00923	0.0001	27.35	0.03	0	0.001
13	    0.2	    7.128	0.008	0.00745	0.00008	26.7	0.03	0	0.001
16	    0.1	    7.075	0.008	0.00685	0.00008	27.52	0.03	0	0.001
16.9	0.3	    7.057	0.009	0.00711	0.00011	27.16	0.03	0	0.001
19.7	0.1	    6.988	0.008	0.00537	0.00006	25.96	0.03	0	0.001
21.4	0.1	    6.994	0.009	0.00582	0.00007	27.92	0.03	0	0.001
26.8	0.2	    6.895	0.008	0.00662	0.00008	28.91	0.03	0	0.001
28.5	0.2	    6.828	0.009	0.00412	0.00005	27.16	0.03	0	0.001
33.8	0.2	    6.738	0.005	0.00325	0.00003	27.32	0.02	0	0.001
40.4	0.2	    6.659	0.005	0.00276	0.00002	28.01	0.02	0	0.001
48.7	0.2	    6.542	0.008	0.00075	0.00001	26.66	0.03	0	0.001
49.8	0.2	    6.522	0.01	0.00053	0.00001	25.85	0.04	0	0.2
52.4	0.2	    6.53	0.013	0.00036	0.00004	26.85	0.05	2.1	0.2
54.2	0.2	    6.511	0.013	0.00225	0.00001	25.52	0.05	2.6	0.2
55.6	0.2	    6.473	0.008	0.00076	0.00001	26.71	0.03	2.5	0.1
58.6	0.3	    6.466	0.013	0.00204	0.00004	24.52	0.05	3.3	0.2
62	    0.3	    6.435	0.016	0.0027	0.00007	23.63	0.06	3.8	0.2
64.4	0.3	    6.418	0.018	0.00274	0.00011	24.92	0.07	4	0.2
65.8	0.3	    6.405	0.014	0.00221	0.00005	25.31	0.05	4.2	0.2
68	    0.3	    6.386	0.013	0.00366	0.00007	23.79	0.05	4.6	0.2
71	    0.3	    6.356	0.009	0.00304	0.00004	24.26	0.03	4.9	0.1
73.8	0.3	    6.341	0.013	0.00396	0.00008	23.68	0.05	5.1	0.2
75.3	0.3	    6.3	    0.008	0.00259	0.00003	24.29	0.03	5.4	0.1
