#	P 	err	C11 	err	C12 	err	C13 	err	C22 	err	C23 	err	C33 	err	C44 	err	C55 	err	C66 	err	ρ 	err
#	(GPa) 	(GPa) 	(GPa) 	(GPa) 	(GPa) 	(GPa) 	(GPa) 	(GPa) 	(GPa) 	(GPa) 	(GPa) 	(GPa) 	(GPa) 	(GPa) 	(GPa) 	(GPa) 	(GPa) 	(GPa) 	(GPa) 	(GPa) 	(g/cm3) 	(g/cm3) 
# Platelet P1 																						
0.0001	0.00001	454.2	2.4	196.1	3.1	193	3.3	454.2	2.4	193	3.3	760.2	6.9	261.6	1.6	261.6	1.6	319.7	2	4.286	0.001
26.4	0.8	558.2	4	371.6	5	233.5	2.8	558.2	4	233.5	2.8	847.5	6.2	302.6	1.9	302.6	1.9	396.2	3.2	4.598	0.001
# Platelet P2 																						
8.2	0.3	491.3	1.9	248.7	2.3	205.7	6.8	491.3	1.9	205.7	6.8	787.8	33.6	275.8	2.5	275.8	2.5	344.8	1.6	4.392	0.001
10.9	0.1	502.2	0.5	266.2	0.7	210.1	1.9	502.2	0.5	210.1	1.9	800.8	38	280	0.4	280	0.4	352.8	0.4	4.425	0.001
14.6	0.1	516.9	1.3	290.8	1.6	215.3	4.4	516.9	1.3	215.3	4.4	812.6	42	286	1.4	286	1.4	363.6	0.9	4.469	0.001
23.8	0.1	548.9	1.4	353.8	1.7	228.6	4.9	548.9	1.4	228.6	4.9	843.2	45	299.4	1.4	299.4	1.4	389.4	1.2	4.571	0.001
32.6	0.1	574.2	1.2	418	1.4	240.4	4	574.2	1.2	240.4	4	867.1	49	311.8	1.4	311.8	1.4	413.2	1	4.662	0.001
38.7	0.4	587.9	1.8	464.5	2.1	248.1	6.4	587.9	1.8	248.1	6.4	881.8	52	319.7	1.9	319.7	1.9	429.1	1.5	4.721	0.001
42.3	0.2	594.4	1.8	494.1	2.1	252.2	5.9	594.4	1.8	252.2	5.9	889.8	55	324.5	1.6	324.5	1.6	438.8	1.7	4.756	0.001
50.1	0.2	603.5	5.3	559.9	6	262.1	16.3	603.5	5.3	262.1	16.3	905	58	334.1	5.3	334.1	5.3	458.5	4.8	4.826	0.001
# Platelet P3 																						
17.9	0.1	531.2	3.5	310.7	7.8	220.8	3.2	531.2	3.5	220.8	3.2	823.4	3	290.6	1.5	290.6	1.5	371.4	3.6	4.507	0.001
20.8	0.1	539.2	4.8	331.9	10.3	224.1	4.1	539.2	4.8	224.1	4.1	832.6	4	294.5	2.1	294.5	2.1	382.2	5	4.538	0.001
28.5	0.5	564.2	4.8	386.7	10.9	230.2	3.6	564.2	4.8	230.2	3.6	855.7	3.4	306.6	1.7	306.6	1.7	403.7	4.5	4.62	0.001
35.3	0.3	583.9	4.5	440.1	9.9	240.3	3.9	583.9	4.5	240.3	3.9	873.2	3.4	315.9	1.8	315.9	1.8	416.4	4.4	4.688	0.001
41	0.3	592.7	3.2	482.6	8.2	251.4	2.2	592.7	3.2	251.4	2.2	886.6	2	322.8	1	322.8	1	434.4	5.1	4.743	0.001
42.3	0.1	594.7	3.9	492.7	7.7	250.2	3.3	594.7	3.9	250.2	3.3	890.9	2.9	324.3	1.5	324.3	1.5	439.7	4.1	4.755	0.001
44.1	0.1	597.4	5.8	505.5	12	253.5	5.2	597.4	5.8	253.5	5.2	894.4	4.5	327.2	2.3	327.2	2.3	444.6	6.1	4.772	0.001
45.8	0.2	599.7	3.8	521.9	8.7	256.3	3.3	599.7	3.8	256.3	3.3	898.2	2.9	329.1	1.6	329.1	1.6	447.4	4.4	4.788	0.001
47.9	0.1	600.6	3.7	540	6.7	258.6	3	600.6	3.7	258.6	3	903.7	2.9	331.4	1.4	331.4	1.4	454.9	3.5	4.807	0.001
49.1	0.2	603	3.8	549.4	7.6	260.4	3.2	603	3.8	260.4	3.2	905.7	3	333.1	1.4	333.1	1.4	456.6	3.9	4.818	0.001
52.1	0.2	605.5	4	578.6	8.3	264.2	3.5	605.5	4	264.2	3.5	912.2	3.1	336.4	1.5	336.4	1.5	462.4	4.1	4.844	0.001
55	0.5	605.9	5	605.5	9.4	267.6	4.2	605.9	5	267.6	4.2	918.5	3.8	339.8	1.8	339.8	1.8	470.2	5	4.869	0.002
57.2	0.1	593.8	36.8	594.9	5.8	237.4	9.6	673.8	3.3	298.4	2.4	920.1	1.6	346	1.2	338.8	1.5	475.9	2.7	4.899	0.002
60.1	0.2	609	92	585.6	20.6	226.1	29.8	723.5	10.2	310.8	7.4	922.2	4.8	351.8	3.5	340.4	4.3	483.3	8.8	4.929	0.002
64.2	0.2	648.5	96.8	576	17.4	219.3	25.8	779.6	8.9	322	6.4	926.3	4.2	357.9	3.4	343	4.1	494.5	6.3	4.971	0.002
69.7	0.3	695.2	99.8	572.7	19.9	215.5	26.4	838.7	9.4	331.4	6.3	932.3	4.1	365.5	3.7	347	4.6	507.2	6.5	5.026	0.002
