											
# This paper was almost solely studying stv. 											
# Just a few post-stv data points, not in this table											
# (see their Fig 2)											
# Data Number											
# Analysis	T	P	    P_err	a	    a_err	c	    c_err	V	    V_err	Vau	    Vau_err
1034007	1300	19.32	0.1	    4.1145	0.0003	2.6464	0.0004	44.8	0.02	63.84	0.02
1034008	1100	18.9	0.2	    4.1105	0.0003	2.6443	0.0002	44.68	0.02	63.57	0.03
1034009	900	    18.5	0.2	    4.1062	0.0004	2.6422	0.0003	44.55	0.02	63.3	0.04
1034010	700	    17.9	0.2	     4.1031	0.0002	2.639	0.0002	44.43	0.03	63.08	0.03
1034011	500	    17.5	0.2	    4.1002	0.0004	2.6377	0.0004	44.34	0.03	62.84	0.02
1034012	300	    16.85	0.12	4.0987	0.0003	2.6359	0.0002	44.28	0.02	62.66	0.02
1036003	1300	25.6	0.2	    4.0866	0.0002	2.6345	0.0003	44	    0.02	62.24	0.02
1036004	1100	25.02	0.2	    4.0828	0.0003	2.6337	0.0004	43.9	0.02	62.04	0.02
1036005	900 	24.6	0.3	    4.0792	0.0006	2.6304	0.0009	43.77	0.04	61.82	0.04
1036006	700 	24.1	0.2	    4.07704	0.0005	2.62788	0.0008	43.681	0.04	61.64	0.02
1036007	500 	23.4	0.2 	4.0751	0.0004	2.6235	0.0009	43.6	0.05	61.48	0.03
1036008	300 	23.05	0.1 	4.0743	0.0004	2.6237	0.0005	43.55	0.04	61.28	0.01
1036012	1300	30.9	0.2 	4.063	0.0002	2.626	0.0004	43.35	0.04	61.06	0.03
1036013	1100	30.3	0.2	    4.06	0.0004	2.6232	0.0003	43.24	0.02	60.9	0.02
1036014	900 	29.98	0.2	    4.0591	0.0004	2.6197	0.0003	43.16	0.03	60.7	0.03
1036015	700 	29.5	0.2	    4.0545	0.0003	2.6192	0.0002	43.06	0.03	60.5	0.02
1036016	500 	29.1	0.3	    4.0538	0.0004	2.6181	0.0005	43.02	0.02	60.36	0.03
1036017	300	    28.5	0.2	    4.0513	0.0007	2.6167	0.0005	42.95	0.04	60.22	0.02
914003	1700	38.5	0.4 	4.0462	0.0004	2.6211	0.0006	42.91	0.03	60.08	0.04
914005	1500	37.7	0.3     4.0425	0.0004	2.6193	0.0007	42.8	0.03	59.98	0.03
914006	1300	37.4	0.4 	4.0392	0.0005	2.6172	0.0008	42.7	0.04	59.8	0.04
914007	1100	36.7	0.4 	4.0365	0.0006	2.6155	0.001	42.62	0.05	59.68	0.05
914008	900	    36.4	0.4 	4.034	0.0007	2.6135	0.001	42.53	0.05	59.5	0.04
914009	700	    35.9	0.3 	4.0322	0.0005	2.6121	0.0009	42.47	0.04	59.36	0.03
914010	500	    35.1	0.2 	4.0308	0.0004	2.6109	0.0007	42.42	0.03	59.28	0.03
914011	300	    34.2	0.3	    4.0302	0.0004	2.6105	0.0007	42.4	0.03	59.21	0.03
942004	1700	40.4	0.4     4.0406	0.0004	2.6177	0.0007	42.74	0.03	59.74	0.04
942005	1500	40.1	0.4	    4.0362	0.0003	2.6153	0.0005	42.6	0.02	59.54	0.04
942006	1300	39.3	0.3	    4.0339	0.0004	2.6125	0.0007	42.51	0.03	59.46	0.03
942007	1100	39	    0.2	    4.031	0.0003	2.6106	0.0006	42.42	0.03	59.27	0.02
942008	900	    38.5	0.2	    4.029	0.0005	2.6085	0.0009	42.34	0.04	59.13	0.02
942009	700	    38	    0.2	    4.0263	0.0004	2.607	0.0007	42.26	0.03	59	    0.02
942010	500	    37.4	0.2 	4.0247	0.0002	2.6062	0.0004	42.21	0.02	58.89	0.03
942011	300	    36.8	0.3 	4.0234	0.0004	2.6058	0.0008	42.18	0.04	58.77	0.03
915004	1700	46.1	0.5 	4.0201	0.0005	2.6081	0.0008	42.15	0.04	58.75	0.05
915005	1500	45.9	0.2 	4.0168	0.0004	2.6056	0.0007	42.04	0.04	58.56	0.02
915006	1300	45.6	0.4 	4.0143	0.0003	2.6039	0.0005	41.96	0.02	58.4	0.04
915007	1100	44.88	0.11	4.0117	0.0003	2.6024	0.0006	41.88	0.03	58.31	0.01
