# P σ_P	a	σ_a	b	σ_b	c	σ_c	V	σ_V	Unique_refl	Rint_percent	R1_percent
0	0.1	4.1752	0.0001	4.1752	0.0001	2.6642	0.0001	46.443	0.003	2788	4.63	1.29
2.8	0.1	4.166	0.0003	4.166	0.0003	2.664	0.0003	46.24	0.01	55	0.61	3.48
7.8	0.2	4.1416	0.0005	4.1416	0.0005	2.6564	0.0003	45.57	0.01	48	1.52	5.93
13	0.1	4.12	0.0004	4.12	0.0004	2.6458	0.0003	44.91	0.01	37	0.78	6.28
16	0.3	4.1066	0.0004	4.1066	0.0004	2.6433	0.0004	44.58	0.01	50	5.89	6.14
16.9	0.1	4.1045	0.0004	4.1045	0.0004	2.6393	0.0003	44.464	0.008	48	0.35	6.11
19.7	0.1	4.0891	0.0004	4.0891	0.0004	2.6298	0.0017	43.97	0.03	50	1.65	3.78
21.4	0.2	4.0875	0.0004	4.0875	0.0004	2.6366	0.0003	44.05	0.01	41	12.74	6
26.8	0.2	4.0681	0.0005	4.0681	0.0005	2.6259	0.0005	43.46	0.01	43	4.37	7.84
28.5	0.2	4.052	0.0004	4.052	0.0004	2.6162	0.0018	42.95	0.03	52	1.7	7.73
33.8	0.2	4.0318	0.0006	4.0318	0.0006	2.607	0.0008	42.38	0.02	48	5.8	6.17
40.4	0.2	4.0133	0.0007	4.0133	0.0007	2.6	0.003	41.88	0.05	34	8.91	5.61
48.7	0.2	3.9875	0.0007	3.9875	0.0007	2.584	0.003	41.09	0.05	46	1.06	5.65
49.8	0.2	3.9819	0.001	3.9819	0.001	2.581	0.003	40.92	0.1	36	1.01	5.35
52.4	0.2	3.944	0.003	4.015	0.0019	2.5851	0.0013	40.93	0.04	47	1.25	5.66
54.2	0.2	3.932	0.003	4.0128	0.0018	2.5817	0.0012	40.73	0.04	56	0.87	5.38
55.6	0.2	3.93	0.004	4.0097	0.001	2.575	0.0005	40.58	0.04	54	4.82	6.22
58.6	0.3	3.914	0.005	4.0118	0.0012	2.5771	0.0006	40.38	0.05	31	14.89	4.97
62	0.3	3.901	0.004	4.0089	0.0012	2.5656	0.0008	40.12	0.04	41	2.94	6.88
64.4	0.3	3.888	0.004	4.008	0.002	2.5681	0.0014	40.01	0.05	46	4.8	6.66
65.8	0.3	3.882	0.004	4.007	0.001	2.5667	0.0008	39.93	0.04	41	12.9	6.62
68	0.3	3.871	0.004	4.0051	0.001	2.5661	0.0007	39.71	0.04	41	1.4	6.85
71	0.3	3.858	0.003	4.004	0.0009	2.558	0.0007	39.51	0.03	46	1.91	4.57
73.8	0.3	3.85	0.003	4.0016	0.0008	2.5557	0.0006	39.37	0.03	45	2.6	6.05
75.3	0.3	3.838	0.002	3.9974	0.0007	2.5498	0.0005	39.12	0.02	46	0.55	4.42
# P errors from the 2021 preprint on ESSOAR
