% Masses from NIST
% Vc = vacancy. Everything else processed with `awk '{print substr($0,5, 4), substr($0,47,100)}' NIST_masses.dat  | sed 's/_//g' | awk '{print $1, $2/1000.}' | awk 'NF==2' | awk -F"(" '{print $1}' | grep -v '['`
Vc 0.0000000
H 0.00100794
He 0.0040026
Li 0.006941
Be 0.00901218
B 0.010811
C 0.0120107
N 0.0140067
O 0.0159994
F 0.0189984
Ne 0.0201797
Na 0.0229898
Mg 0.024305
Al 0.0269815
Si 0.0280855
P 0.0309738
S 0.032065
Cl 0.035453
Ar 0.039948
K 0.0390983
Ca 0.040078
Sc 0.0449559
Ti 0.047867
V 0.0509415
Cr 0.0519961
Mn 0.054938
Fe 0.055845
Co 0.0589332
Ni 0.0586934
Cu 0.063546
Zn 0.06538
Ga 0.069723
Ge 0.07264
As 0.0749216
Se 0.07896
Br 0.079904
Kr 0.083798
Rb 0.0854678
Sr 0.08762
Y 0.0889058
Zr 0.091224
Nb 0.0929064
Mo 0.09596
Ru 0.10107
Rh 0.102905
Pd 0.10642
Ag 0.107868
Cd 0.112411
In 0.114818
Sn 0.11871
Sb 0.12176
Te 0.1276
I 0.126904
Xe 0.131293
Cs 0.132905
Ba 0.137327
La 0.138905
Ce 0.140116
Pr 0.140908
Nd 0.144242
Sm 0.15036
Eu 0.151964
Gd 0.15725
Tb 0.158925
Dy 0.1625
Ho 0.16493
Er 0.167259
Tm 0.168934
Yb 0.173054
Lu 0.174967
Hf 0.17849
Ta 0.180948
W 0.18384
Re 0.186207
Os 0.19023
Ir 0.192217
Pt 0.195084
Au 0.196967
Hg 0.20059
Tl 0.204383
Pb 0.2072
Bi 0.20898
Th 0.232038
Pa 0.231036
U 0.238029
